City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
3,Rikitea,PF,76.69,scattered clouds,-23.1203,-134.9692,People ThankYou
7,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
10,Rae Bareli,IN,87.44,clear sky,26.2167,81.2333,Hotel Ashirwad Inn
11,Hilo,US,82.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Luba,GQ,75.09,overcast clouds,3.4568,8.5547,Hotel Name
20,Dzilam Gonzalez,MX,83.61,few clouds,21.2833,-88.9333,posadas
27,Lumphat,KH,76.87,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
31,Dawei,MM,80.83,few clouds,14.0833,98.2,Hotel Dawei
38,Soyo,AO,77.74,overcast clouds,-6.1349,12.3689,Hotel Mpampa
40,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Atuona,PF,78.78,scattered clouds,-9.8,-139.0333,Villa Enata
52,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
62,Savelugu,GH,82.92,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
73,Hithadhoo,MV,84.67,scattered clouds,-0.6,73.0833,Scoop Guest House
76,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
77,Lethem,GY,78.76,scattered clouds,3.3803,-59.7968,Savannah Inn
90,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
95,Halvad,IN,81.25,few clouds,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
102,Buchanan,LR,78.85,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
103,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
105,Lorengau,PG,85.8,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
110,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
112,Butaritari,KI,81.57,few clouds,3.0707,172.7902,Isles Sunset Lodge
113,Nioro,GM,80.28,overcast clouds,13.35,-15.75,Hotel Name
116,Jibuti,DJ,79.25,clear sky,11.5,42.5,Orchid Main Camp Goubet
117,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
126,Banamba,ML,89.1,scattered clouds,13.55,-7.45,Kassela de Banamba
129,Avarua,CK,86.05,broken clouds,-21.2078,-159.775,Paradise Inn
131,Meulaboh,ID,79.77,overcast clouds,4.1363,96.1285,Kost Pria
132,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
135,San Patricio,US,86.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
138,Gewane,ET,83.5,broken clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
141,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
143,Kudligi,IN,77.23,overcast clouds,14.9,76.3833,BARKATH MANSION
146,Georgetown,MY,85.93,haze,5.4112,100.3354,Cititel Penang
153,Sarishabari,BD,76.46,overcast clouds,24.7333,89.8333,Bangali Telecom
156,Kalmunai,LK,81.99,overcast clouds,7.4167,81.8167,VS Villa
157,Dwarka,IN,81.81,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
159,West Bay,KY,83.07,few clouds,19.3667,-81.4167,Calypso Cove
160,Kedougou,SN,82.98,clear sky,12.5579,-12.1743,Relais de Kédougou
163,Sandakan,MY,78.48,scattered clouds,5.8402,118.1179,Hotel Sandakan
165,Cozumel,MX,82.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
169,Ternate,ID,83.41,light rain,0.8,127.4,Sahid Bela Ternate Hotel
175,Sola,VU,81.54,broken clouds,-13.8833,167.55,Leumerus Bungalows
182,Victoria,HK,79.03,overcast clouds,22.2855,114.1577,Mini Hotel Central
