City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vidim,56.4088,103.1106,37.53,93,100,7.25,RU,2022-04-29 02:14:27
1,Rio Grande,-32.035,-52.0986,56.95,79,0,10.22,BR,2022-04-29 02:14:28
2,Longyearbyen,78.2186,15.6401,6.64,61,20,14.97,SJ,2022-04-29 02:14:28
3,Rikitea,-23.1203,-134.9692,77.05,69,0,18.34,PF,2022-04-29 02:14:29
4,Lewiston,44.1003,-70.2148,45.39,38,0,16.11,US,2022-04-29 02:11:18
5,Jamestown,42.097,-79.2353,35.71,60,0,3.44,US,2022-04-29 02:13:31
6,Hermanus,-34.4187,19.2345,60.98,89,100,6.64,ZA,2022-04-29 02:14:29
7,Fairbanks,64.8378,-147.7164,53.56,33,0,4.61,US,2022-04-29 02:14:30
8,Clyde River,70.4692,-68.5914,3.43,92,100,4.61,CA,2022-04-29 02:09:53
9,Punta Arenas,-53.15,-70.9167,42.91,75,75,26.46,CL,2022-04-29 02:09:53
10,Tyukhtet,56.5389,89.3011,54.23,58,100,13.62,RU,2022-04-29 02:14:30
11,Katsuura,35.1333,140.3,60.82,89,100,13.96,JP,2022-04-29 02:14:31
12,Isangel,-19.55,169.2667,73.98,92,100,20.85,VU,2022-04-29 02:14:31
13,Phan Thiet,10.9333,108.1,76.91,93,100,6.64,VN,2022-04-29 02:12:15
14,Atuona,-9.8,-139.0333,79.36,74,58,19.62,PF,2022-04-29 02:14:32
15,Kargasok,59.0556,80.8572,57.81,78,100,12.24,RU,2022-04-29 02:14:32
16,Gornozavodsk,58.3758,58.3211,26.4,75,65,8.93,RU,2022-04-29 02:14:33
17,Sakakah,29.9697,40.2064,66.67,50,0,4.97,SA,2022-04-29 02:14:33
18,Niamey,13.5137,2.1098,85.69,18,67,7.74,NE,2022-04-29 02:14:34
19,Svetogorsk,61.1121,28.8632,33.39,91,100,4.0,RU,2022-04-29 02:14:34
20,Santiago De Chuco,-8.15,-78.1833,49.95,92,85,4.25,PE,2022-04-29 02:14:34
21,Ushuaia,-54.8,-68.3,40.66,87,40,27.63,AR,2022-04-29 02:11:53
22,Albany,42.6001,-73.9662,43.63,34,0,8.01,US,2022-04-29 02:14:34
23,Pinheiro Machado,-31.5783,-53.3811,53.06,85,0,4.16,BR,2022-04-29 02:14:35
24,Bambous Virieux,-20.3428,57.7575,74.21,94,40,4.61,MU,2022-04-29 02:14:36
25,Ust-Kuyga,70.0167,135.6,16.03,86,48,8.14,RU,2022-04-29 02:14:36
26,Divnomorskoye,44.5011,38.1353,54.77,86,100,5.99,RU,2022-04-29 02:14:37
27,Chokurdakh,70.6333,147.9167,8.06,88,47,4.45,RU,2022-04-29 02:10:54
28,Sinnamary,5.3833,-52.95,77.97,87,87,11.43,GF,2022-04-29 02:14:37
29,Kodiak,57.79,-152.4072,44.11,76,100,20.71,US,2022-04-29 02:14:38
30,Auriflama,-20.6856,-50.5547,77.77,40,99,5.79,BR,2022-04-29 02:14:38
31,Guaratinga,-16.5667,-39.5667,69.04,97,7,3.13,BR,2022-04-29 02:14:39
32,Chinsali,-10.5414,32.0816,57.65,96,41,6.96,ZM,2022-04-29 02:14:39
33,Ipixuna,-1.7625,-48.8043,73.58,98,100,3.15,BR,2022-04-29 02:14:40
34,Srednekolymsk,67.45,153.6833,23.07,82,99,6.64,RU,2022-04-29 02:14:36
35,Lompoc,34.6391,-120.4579,61.79,69,0,13.8,US,2022-04-29 02:14:40
36,Mataura,-46.1927,168.8643,57.47,62,8,0.92,NZ,2022-04-29 02:14:41
37,Kahului,20.8947,-156.47,86.02,60,40,21.85,US,2022-04-29 02:12:26
38,Kemijarvi,66.7131,27.4306,24.1,69,100,7.47,FI,2022-04-29 02:14:41
39,Butaritari,3.0707,172.7902,82.06,77,100,15.93,KI,2022-04-29 02:14:41
40,Port Hardy,50.6996,-127.4199,50.18,66,75,6.91,CA,2022-04-29 02:12:15
41,Tuktoyaktuk,69.4541,-133.0374,14.0,85,75,14.97,CA,2022-04-29 02:15:42
42,Ohaeawai,-35.3509,173.8822,64.81,76,77,5.84,NZ,2022-04-29 02:15:43
43,Tiarei,-17.5333,-149.3333,87.82,75,9,22.75,PF,2022-04-29 02:15:43
44,Megion,61.0296,76.1136,51.82,98,99,12.28,RU,2022-04-29 02:15:43
45,Pochutla,15.7432,-96.4661,82.81,69,3,4.56,MX,2022-04-29 02:12:28
46,Basco,20.4487,121.9702,82.63,84,5,17.65,PH,2022-04-29 02:15:44
47,Meulaboh,4.1363,96.1285,81.01,81,70,3.4,ID,2022-04-29 02:15:44
48,Yellowknife,62.456,-114.3525,32.56,69,20,20.71,CA,2022-04-29 02:15:27
49,Mwinilunga,-11.7358,24.4293,56.34,94,20,5.48,ZM,2022-04-29 02:11:00
50,Son La,21.3167,103.9,84.18,63,94,3.38,VN,2022-04-29 02:15:45
51,Mar Del Plata,-38.0023,-57.5575,46.87,82,0,11.99,AR,2022-04-29 02:15:45
52,Carnarvon,-24.8667,113.6333,75.27,41,0,19.57,AU,2022-04-29 02:13:39
53,Luderitz,-26.6481,15.1594,58.89,76,15,9.78,NA,2022-04-29 02:15:46
54,Killybegs,54.6333,-8.45,45.59,87,50,4.88,IE,2022-04-29 02:15:46
55,Saldanha,-33.0117,17.9442,60.12,86,37,9.28,ZA,2022-04-29 02:15:47
56,Hamburg,53.55,10.0,41.02,92,98,2.3,DE,2022-04-29 02:15:30
57,Elliot Lake,46.3834,-82.6331,30.52,61,3,2.37,CA,2022-04-29 02:15:48
58,Kupang,-10.1667,123.5833,85.12,59,99,4.38,ID,2022-04-29 02:15:48
59,Vrangel,42.7297,133.0839,47.66,57,100,8.48,RU,2022-04-29 02:15:48
60,Hamilton,39.1834,-84.5333,57.24,50,75,10.36,US,2022-04-29 02:15:26
61,Vardo,70.3705,31.1107,26.89,61,100,22.7,NO,2022-04-29 02:15:49
62,Busselton,-33.65,115.3333,62.6,59,3,1.48,AU,2022-04-29 02:15:49
63,Asau,46.4333,26.4,47.32,97,100,5.64,RO,2022-04-29 02:15:50
64,Sao Joao Da Barra,-21.6403,-41.0511,76.05,88,0,12.68,BR,2022-04-29 02:15:50
65,Iqaluit,63.7506,-68.5145,6.53,72,75,3.44,CA,2022-04-29 02:15:51
66,Hithadhoo,-0.6,73.0833,84.67,65,36,4.27,MV,2022-04-29 02:15:51
67,Bethel,41.3712,-73.414,47.48,37,0,6.91,US,2022-04-29 02:11:12
68,Destin,30.3935,-86.4958,73.4,83,0,4.61,US,2022-04-29 02:15:52
69,Lavrentiya,65.5833,-171.0,30.87,95,98,11.45,RU,2022-04-29 02:15:52
70,New Norfolk,-42.7826,147.0587,72.9,76,100,1.01,AU,2022-04-29 02:15:53
